3700.0
3,1
1.0,1.0,1.0,15.1
1.0,1.0,4.0,66.1
1.0,1.0,7.0,178.3
1.0,1.0,10.0,351.7
1.0,2.0,1.0,21.8
1.0,2.0,4.0,72.8
1.0,2.0,7.0,185.0
1.0,2.0,10.0,358.4
1.0,3.0,1.0,28.499998
1.0,3.0,4.0,79.5
1.0,3.0,7.0,191.70001
1.0,3.0,10.0,365.1
1.0,4.0,1.0,35.2
1.0,4.0,4.0,86.2
1.0,4.0,7.0,198.40001
1.0,4.0,10.0,371.8
1.0,5.0,1.0,41.9
1.0,5.0,4.0,92.9
1.0,5.0,7.0,205.1
1.0,5.0,10.0,378.5
1.0,6.0,1.0,48.6
1.0,6.0,4.0,99.6
1.0,6.0,7.0,211.8
1.0,6.0,10.0,385.2
1.0,7.0,1.0,55.3
1.0,7.0,4.0,106.3
1.0,7.0,7.0,218.5
1.0,7.0,10.0,391.9
1.0,8.0,1.0,62.0
1.0,8.0,4.0,113.0
1.0,8.0,7.0,225.20001
1.0,8.0,10.0,398.6
1.0,9.0,1.0,68.700005
1.0,9.0,4.0,119.700005
1.0,9.0,7.0,231.90001
